object_number,priref,object_name-term,creator-name,creator.role,creator.qualifier,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,description,title,title-lang,record - Production - production.place - term,record - Dimension - dimension.type - linkdb,dimension.type-term,dimension.unit-term,dimension.value,dimension.part,dimension.notes,dimension.precision,record - institution.name - linkdb,institution.name-address,institution.name,technique-term,technique.part,technique.notes,production.date.notes,dimension.free
AV.3737.1-2,161879,discantgamba,anoniem,,,1720,ca,1720,ca,"Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Anoniem, 17de eeuw - 6 snaren; kraag bekroond met engelenkop; C-gaten; staartstuk van ebbenhout met drie overlangs ingelegde ivoren stroken, haken van messing voor vasthechting der snaren'. 
Een discantgamba of ‘dessus de viole’  is het kleinste instrument in de viola da gamba-familie. Het werd een octaaf hoger gestemd dan de basgamba. Wanneer gamba’s in de vroege 18de eeuw onder invloed van de steeds populairder wordende vioolmuziek stilaan uit de mode raken, beleven deze kleine instrumentjes een korte heropleving. Omdat ze nauwelijks groter waren dan een viool, kon men er het eenvoudige vioolrepertoire op spelen. Voor welgestelde liefhebbers die de viool nog steeds associeerden met geminachte speellieden, was dit een ideaal compromis.","Discantgamba, ca. 1720",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,11,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,75,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,20,geheel,,,,,,,,,,
AV.3562,162117,buccin,anoniem,,,1810,ca,1810,ca,"De buccin, een militaire trombone met een slangenkop met opengesperde muil als schalbeker, werd tijdens de Franse Revolutie ‘uitgevonden’ door Bernard Sarrette. De slangenmuil verwijst naar de militaire serpent, een afgeleide van de serpenten die in kerken werden gebruikt. Qua klank bood deze vormgeving geen speciale voordelen. Tijdgenoten omschreven hem zelfs als ‘verschrikkelijk’.","Schalbeker van een buccin met voorstelling van veelkleurig drakenhoofd, anoniem, Frankrijk, ca. 1810",nl-NL,Frankrijk [staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,58,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,33,geheel,,,,,,,,,,
AV.3733,162137,pianino,Jean Dammekens (toegeschreven),,,1830,,1849,,"Rechte piano van mahonie hout, met aan de voorzijde boven en onder het klavier groene zijde; Erard mechaniek met repetitie, de dempers met bajonet-mechaniek zitten op een afzonderlijke lijst vast; 
Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'België, 1850 - 6 octaven + 6 (C,-a''''); 2 pedalen: piano (verschuift de hamers), forte; 2- korige besnaring. Op klavierraam staat in porlood geschreven: 'L.R.VAN DRIESSCHE, NR 25'.",Buffetpiano (pianino),nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,120.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,136,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,69,geheel,,,,,,,,,,
AV.3738,162141,draailier,,,,1800,,1899,,"Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Anoniem, 18 de eeuw - Gitaarvorm met C-gaten, bekroond met vrouwenkop; 4 melodiesnaren, vier bourdonsnaren; twee rijen toetsen: bovenaan 8, onderaan 13; kraag met 8 voorstandige sleutels; de dekplaat boven de snaren versierd met concentrische cirkels'. 
In Frankrijk werden draailieren tot in de 20ste eeuw ononderbroken en intens gebruikt. Door migratie in de 19de eeuw kwamen Franse types in ons land terecht.","Draailier, Frankrijk, 19de eeuw",nl-NL,Frankrijk [staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,15,geheel,,ca,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,70,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,23,geheel,,,,,,,,,,
AV.3740,162144,eenhandsfluit,,,,1800,,1899,,,Eenhandsfluit,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,32.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,2.2,geheel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.1909.024,162159,fagot,anoniem,,,1800,,1899,,,"Fagot, anoniem, 19de eeuw, in vier demontabele delen",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,130.7,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,8.1,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,8.4,geheel,,,,,,,,,,
AV.3758,162166,natuurtrompet,"Cart, Josephus Ludovicus Ferdinandus Victor De",instrument builder,,1850,,1899,,,Rechte natuurtrompet met op de schalbeker het gegraveerde opschrift 'F. & L.  de Cart Fres. Fournisseurs de l'Armee et des conservatoires Rue d'Anvers 46 Lierre',nl-NL,Lier [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,95.9,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,instrumentenbouwer,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,11.7,geheel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.1957.005.023,166867,gitaar,,,,1840,,1859,,"Catalogus van de Muziekinstrumenten uit de verzameling van het Museum Vleeshuis, Ruckers Genootschap, Antwerpen, 1981: 'Vermoedelijk Duitsland, midden 19 de eeuw - 18 frets; bovenblad en klankgat omzoomd met strookjes ingelegd hout; kraag in gestrekte S-vorm'.","Gitaar voorzien van gekrulde kam. Duitsland, midden 19de eeuw",nl-NL,Duitsland [staat],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,96,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,29.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,8.5,geheel,,,,,,,,,,
AV.7371,167365,maquette,"Bourla, Pierre Bruno",architect,,1829,ca,1832,ca,"De Parijse architect Bourla was een pionier van het neoclassicisme in België. Als stadsbouwmeester van Antwerpen (1819-1861) was hij o.m. van belang voor de havenwerken (o.a. het Kattendijkdok). Zijn belangrijkste werk is het ""Théâtre Royal français"" of de Franse Opera, (1829-1832). Deze zeldzame maquette toont de oorspronkelijke toestand, zonder de latere toevoegingen.","Maquette van de Bourlaschouwburg, Antwerpen, ca. 1832",nl-NL,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,25,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),geschilderd,geheel,,fiche 1827?,
,,,,,,,,,,,Vermoedelijke presentatiemaquette van het 'Théâtre Royal d'Anvers',,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,82.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,29,geheel,,,,,,,,,,
AV.1999.002.028.1-2,169563,kindvirginaal,"Ruckers (I), Andreas",klavecimbelbouwer,,1626,ca.,1626,ca.,"1 klavier, C, D-c3 (oorspronkelijk C/E-c3) | 4’ 
3-voet kindvirginaal waarvan het moedervirginaal ontbreekt. Volgens O’Brien is het gebouwd tussen 1615 en 1628 (vermoedelijk omstreeks 1626 op basis van het serienummer). De kast is versierd met bedrukt papier. De zangbodem is beschilderd met bloemen en arabesken. Rozet met initialen ‘A R’ (Andreas Ruckers). Het klavier is later uitgebreid. De dokkenlat ontbreekt. In 2006 vonden conservatie-ingrepen plaats.
Herkomst: Het instrument behoorde tot 1999 tot de collectie van Museum Sterckshof (Provincie Antwerpen). In 1999 droeg de Provincie het over aan Museum Vleeshuis.",Child virginal (ottavino),en-US,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,14,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,na onderzoek 2014-03-31: op de toetsen vermelding van het jaartal 1626,
,,,,,,,,,,"single manual, C, D-c3 (originally C/E-c3) | 4’
3-foot ‘child’ virginal, the ‘mother’ virginal of which is missing. According to O’Brien, it was built between 1615 and 1628 (presumably c. 1626, based on the serial number). The case has been decorated using printed paper. The soundboard has been painted with flowers and arabesques. Rose with the initials  ‘A R’ (Andreas Ruckers). The manual was extended at a later date. The jack rail is missing. The instrument underwent conservation measures in 2006.  
Provenance: Until 1999 the instrument was part of the Museum Sterckshof collection (Province of Antwerp). In 1999 the Province transferred it to the Museum Vleeshuis.",Kindvirginaal (ottavino),,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,82,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,45,geheel,,,,,,,,,,
AV.2001.001.002,169572,viool,onbekend,,,1700,ca,1749,ca,"Met signatuur 'Larentius Storioni/ fecit Cremona 1742' 42 in handschrift, bruine inkt. Etiket, papier, imitatie van drukwerk met pen, zwarte inkt.",Viool,nl-NL,Southern Netherlands,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,56,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,(Karel Moens),
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,18.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,9.5,geheel,,,,,,,,,,
AV.2001.001.004.1-3,169576,cello,Beare,instrument builder,,,,,,Cello van het model Beare in een losse cellokist voorzien van groene bekleding en twee half vergande labels waarop nog leesbaar '..ungby...' en '..London and South Wester.. from Waterloo to....odalming...'. Tevens voorzien van een losse beschermhoes voor de cello in de kist met het opschrift 'A.Charretier'.,"Cello, model Beare, voorzien van losse kist met losse beschermhoes",nl-NL,Londen [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,124,geheel,zonder steun,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,instrumentenbouwer,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,44,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,22,geheel,,,,,,,,,,
AV.2001.001.007,169579,gitaar,,,,,,,,,Akoestische gitaar,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,91.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,31,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,9.5,geheel,,,,,,,,,,
AV.2001.001.008,169581,gitaar,Albi,instrument builder,,,,,,,Gitaar van Albi,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,74.6,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,instrumentenbouwer,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,24,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,8.3,geheel,,,,,,,,,,
AV.2001.001.009,169582,mandoline,,,,,,,,,"Mandoline, rondom ingelegd met parelmoer en rond het klankgat met decoratieve bloemen",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,62,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,20.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,15,geheel,,,,,,,,,,
AV.2001.001.010,169583,mandoline,,,,,,,,,Mandoline,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,61,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,20,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,14,geheel,,,,,,,,,,
AV.2001.001.012,169601,gitaar,"Rocca, A.",instrument builder,,,,,,,Gitaar van A. Rocca,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,58.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,instrumentenbouwer,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,26,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,6.8,geheel,,,,,,,,,,
AV.2001.001.013,169602,harp,Morley,instrument builder,,1800,,1899,,Aan de bovenzijde van de hals een lint met bloemen bevestigd.,Kinderharp voorzien van stempel met opschrift 'J.G. eo Morley Harp Maker' en decoraties in de vorm van takken met klavertjes,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,108.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,instrumentenbouwer,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,68,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,28,geheel,,,,,,,,,,
AV.2001.001.027,169620,snaardrum,,,,,,,,"Snarentrom, op de zijkant voorzien van een kroon, twee vlaggen waarvan één blauw-wit gestreept en één geel met zwart everzwijn, daaronder een banderol met 'Sine Fraude'.  Op het vel de tekst 'Chateau de Schilde'.","Snarentrom, op de zijkant voorzien van een kroon, twee vlaggen en een banderol met 'Sine Fraude' en op het vel de tekst 'Chateau de Schilde",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,20.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,40.5,geheel,inclusief spanhaken,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.2001.001.029,169622,trom,,,,,,,,,Trommel,nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,51,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,52.5,geheel,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
AV.2001.001.041,169646,serinette,,,,,,,,"Een serinette-orgeltje diende om korte melodietjes voor te spelen voor kanaries. Doel was dat die de muziek zouden nazingen. (""Serin"" is Frans voor ""kanarie"".) De melodie staat genoteerd op een cilinder met metalen pinnetjes (muziekrol) die de toetsjes omhoog duwen.","Serinetteorgeltje, Vogezen, begin 19de eeuw",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,14.7,geheel,gelosten toestand,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,27.1,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,20.8,geheel,,,,,,,,,,
AV.2001.001.043,169649,muziekdoos,,,,,,,,"Van de late middeleeuwen tot de 19de eeuw werkten de meeste mechanische instrumenten - van de beiaardautomaat tot de kleine muziekdoos - volgens hetzelfde eenvoudige principe: toetsen werden ingedrukt door stiften op een cilinder. Dit systeem was eenvoudig, maar had ook nadelen. Het maken en omwisselen van cilinders was duur en omslachtig. Toen muziekdozen in de 19de eeuw een massaproduct werden, deed een mechanisme de cilinder na elke omwenteling een paar millimeter opschuiven om een volgende melodie te laten klinken. Na 6 à 7 melodieën kwam de cilinder weer in zijn beginpositie.","Muziekdoos met op de binnenzijde van het deksel het opschrift 'Edelweiss' en op de buitenzijde van het deksel een decoratie met bloemen, een hart, anker en kruis",nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,14.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,31.7,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diepte,cm,18,geheel,,,,,,,,,,
AV.2002.001.1-2,169663,klavecimbel,"Britsen, Joris (III)",klavecimbelbouwer,,1681,,1681,,"double manual (originally single manual), C-d3 (originally perhaps G1/B1-c3) | 8’ 8’ 4’
Case with understated decoration of brownish-black and red paintwork. The lid interior has been painted with a village scene in the style of David Teniers (III). The nameboard has been embellished with the motto ‘EX VNIONE DVLCE MELOS’. The soundboard has been painted with flowers, insects and the year ‘An° 1681’. Rose with the initials ‘G B’ (Georgius Britsen). In its present state the harpsichord has two manuals, the lower one being probably an 18th-century addition. The lid’s paintwork (signed with a monogram using the interlaced letters H, V and M) may be original and was expanded upon in the 18th century.  The jack rail is missing, but was still present when the instrument was put up for sale at Sotheby’s in 1999 and 2000. Restoration work was performed on it in the late 19th or early 20th century, as well as in 1955.
Provenance: This instrument was possibly part of the collection held by Abel Benjamin Régibo (Ronse), and it was auctioned in 1897. Owned by Baron J. de Streel (before 2002). In 1999 and 2000 it was put up for sale at Sotheby’s in London but did not secure a bidder. In 2002 Baron J. de Streel sold the instrument to the Museum Vleeshuis.",Harpsichord,en-US,Antwerp [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,201,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,Inkomboek: 1681,
,, harpsichord,,,,,,,,"2 klavieren (oorspronkelijk 1 klavier), C-d3 (oorspronkelijk wellicht G1/B1-c3) | 8’ 8’ 4’
Sober afgewerkte kast met beschildering in bruinzwart en rood. De binnenzijde van het deksel is beschilderd met een dorpsscène in de stijl van David Teniers (III). Het naambord is versierd met het motto ‘EX VNIONE DVLCE MELOS’. De zangbodem is beschilderd met bloemen, insecten en het jaartal ‘An° 1681’. Rozet met initialen ‘G B’ (Georgius Britsen). In zijn huidige toestand heeft het klavecimbel twee klavieren, waarvan het onderste wellicht een 18de-eeuwse toevoeging is. De dekselbeschildering (gesigneerd met een monogram met de in elkaar gewerkte letters H, V en M) is wellicht oorspronkelijk en werd in de 18de eeuw uitgebreid. De dokkenlat ontbreekt, maar was nog aanwezig toen het instrument in 1999 en 2000 werd aangeboden bij Sotheby’s. In de late 19de of de vroege 20ste eeuw vonden restauratie-ingrepen plaats, evenals in 1955. 
Herkomst: Wellicht behoorde dit instrument tot de collectie van Abel Benjamin Régibo (Ronse), en werd het in 1897 geveild. Eigendom van baron J. de Streel (voor 2002). In 1999 en 2000 werd het te koop aangeboden bij Sotheby’s, Londen, maar niet verkocht. In 2002 verkocht baron J. de Streel het instrument aan Museum Vleeshuis.
",Klavecimbel,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,79,geheel,,,,,,,,,,
,, clavecin,"Teniers, David (III)",painter,naar,,,,,,,,,,,,,,,,,,,,,,,
,,,,schilder,,,,,,,,,,,,,,,,,,,,,,,,
AV.2002.002.001.1-2,169665,vleugelpiano,"Hoeberechts, Lambert",pianobouwer,,1808,ca,1808,ca,"De oudste vleugel in de verzameling is de pianoforte van Lambert Hoeberechts en Jean Groetaerts (Brussel, na 1806 - voor 1811), een van de twee oudste gekende vleugelpiano’s uit de oude Nederlanden. Beide pianobouwers leerden elkaar kennen in Londen, waar ze wellicht het vak leerden in het atelier van John Broadwood, een van de belangrijkste bouwers van die tijd. Na een tijd samen in Londen gewerkt te hebben, vestigden ze zich in 1802 samen in Brussel, waar ze snel tot de beste pianobouwers uit de Nederlanden behoorden en hofinstrumentenbouwer werden van koning Willem I. De kast in honduras vertoont gelijkenissen met die van de beste vroege Engelse piano’s en de mechaniek is nagenoeg identiek aan de laat-18de-eeuwse mechanieken van John Broadwood. Anders dan bij de eenvoudige mechanieken in tafelpiano’s duwt een opstoter de hamer via een ‘echappement’ (letterlijk ‘ontsnapping’, een hoekige inkeping) omhoog. Daardoor kan de hamer al omlaag vallen vooraleer de pianist de toets helemaal loslaat. Zo’n ‘echappement’ laat een zeer virtuoos spel toe. Beethoven bezat een Broadwood uit 1810 en had lange tijd een voorkeur voor deze Engelse ‘Grand Action’.",Vleugelpiano (pianoforte),nl-NL,Brussels [location],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,92,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,Inkomboek: ca 1806,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,250,geheel,,,,,,,,,,
,,,"Groetaerts, Jean",,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,114,geheel,,,,,,,,,,
AV.2002.003.001,169671,virginal (muselaar),"Biest, Marten van der",klavecimbelbouwer,,1575,,1599,,"Virginal lid, painted with a view of Antwerp from an imaginary landscape on the Left Bank. A virginal depicted in the painting bears the initials ‘M V B’. It may come from the workshop of Marten van der Biest. The lid was retouched in the 17th, 18th, 19th and early 20th centuries. In 2005–6 the lid was researched and restored by Brian Richardson and Hilde Weissenboom. 
Provenance: Until 2002 the instrument belonged to the collection held by the Museum Sterckshof (Province of Antwerp). In 2002 the Province transferred it to the Museum Vleeshuis.",Beschilderd virginaaldeksel (Zicht op Antwerpen vanop Linkeroever),nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,171,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,, virginal (muselar),,,,,,,,"Virginaaldeksel, beschilderd met zicht op Antwerpen vanuit een fantasielandschap op Linkeroever. Een virginaal dat op de beschildering is afgebeeld draagt de initialen ‘M V B’. Wellicht komt het uit het atelier van Marten van der Biest. Het deksel werd in de 17de, 18de, 19de en vroege 20ste eeuw geretoucheerd. In 2005-2006 onderzochten en restaureerden Brian Richardson en Hilde Weissenboom het deksel.
Herkomst: Het instrument behoorde tot 2002 tot de collectie van Museum Sterckshof (Provincie Antwerpen). In 2002 droeg de Provincie het over aan Museum Vleeshuis.",,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,breedte,cm,49,geheel,,,,,,,,,,
,, virginaal (muselaar),,,,,,,,,,,,,,,,,,,,,,,,,,
,, onderdeel,,,,,,,,,,,,,,,,,,,,,,,,,,
AV.2005.005,172453,viool,,vioolbouwer,,1996,,1996,,Violen van speellieden uit de 16de of vroege 17de eeuw bleven niet bewaard. Dit is een reconstructie naar voorbeelden uit de schilderkunst van ca. 1620.,"Reconstructie van een speelliedenviool ca. 1610-20, W. Raymaekers, Leuven, 1996",nl-NL,Leuven [plaats],\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,60,geheel,,ca,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
AV.2006.008,172878,natuurtrompet,"Prins, De",instrument builder,,,,,,,Natuurtrompet met op de schalbeker het gegraveerde opschrift 'De Prins Gebr. gebreveteerd Antwerpen Belgie Gouden medaille Grote Prijs 18016',nl-NL,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,lengte,cm,92.5,geheel,,,\\file1.adlib.local\adlib.musea$\data+people>people,,Museum Vleeshuis | Klank van de Stad (Antwerpen),,,,,
,,,,instrumentenbouwer,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,hoogte,cm,15.3,geheel,,,,,,,,,,
,,,,,,,,,,,,,,\\file1.adlib.local\adlib.musea$\data+thesau>thesau,diameter,cm,12.3,schalbeker,,,,,,,,,,
,,,,,,,,,,,,,,,diameter,,,,,,,,,,,,,
